招标单位,招标单位行业分类,项目名称,项目编号,截止日期,采购内容,源网址,与公司业务匹配度,匹配产品,业务匹配说明,匹配一致性问题
宁夏广播电视监测中心,其他,宁夏广播电视公共服务质量监测人工智能平台升级改造项目,YMZFCGDL2026-15,2026-08-17 15:00:00,采购标的：服务质量监测人工智能平台的升级改造服务；主要用途：用于广播电视公共服务质量监测,https://www.ggzy.gov.cn/information/deal/html/b/640000/0201/20260723/0064e64dedb170654bfb8057c5d77fd750a3.html,前往官网确认,无明确匹配产品,匹配结论：采购原文仅描述“服务质量监测人工智能平台升级改造”，未提供任何具体业务功能、交付成果或平台能力要求，无法与VZOOM三个产品形成可核验的匹配。；分产品说明：VZOOM企业级AI智能体：采购需求未体现Agent/Skill、智能问答、知识库或流程自动化等可承接能力；VZOOM财税大模型：采购需求未体现财税知识库、发票异常识别、财税决策等财税场景需求；VZOOM AI中台：采购需求未体现模型服务、异构算力、统一数据治理或多智能体协同等平台底座需求,业务匹配度不是允许值
浙江师范大学,教育,微格教室学生实训AI分析系统 品目,前往官网确认,2026-08-17 14:30:00,采购标的：微格教室学生实训AI分析系统一套；主要用途：用于微格教室学生实训的AI分析评估,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260728_27024909.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
深圳海关信息中心,其他,深圳海关信息中心算法模型持续训练与调优服务项目（第二次招标） 品目 服务/其他服务,3324-DH2630F1159,2026-08-17 14:30:00,采购标的：算法模型持续训练与调优服务，以及多模态单证识别工具、报关单分析分类打标功能；主要用途：提升算法模型在实际业务场景中的适配能力和运行稳定性，保障数据分析链路畅通，提升智能诊断和统计分析结果的准确性，为深圳海关信息中心相关业务应用的稳定、高效运行提供技术支撑；核心需求：以现有算法模型、数据资产链路、智能诊断策略、运行性能和服务保障机制的持续性技术服务、建设多模态单证识别工具、建设海关统计参数体系报关单分析分类打标功能、服务期限一年,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260727_27013578.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
云南轻纺职业学院,教育,云南轻纺职业学院人工智能学院云计算技术应用实训室及智慧教室建设项目(集中采购） 品目,YNZC2026-G1-03896-YNSZ-0214,2026-08-17 13:30:00,采购标的：云服务器、学生云终端、双拼智能黑板、小组研讨大屏；主要用途：用于人工智能学院云计算技术应用实训室及智慧教室建设；核心需求：合同签订生效后30个日历天内完成交货安装、调试及验收；模块/标包：人工智能学院云计算技术应用实训室建设（云服务器2台、学生云终端110台）、智慧教室建设（双拼智能黑板2台、小组研讨大屏6台,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260724_27004885.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数5，未达到65分明确匹配阈值,前往官网确认
那曲市卫生健康委员会,政府/政务,那曲市人工智能辅助诊疗信息系统建设项目,GZFCG2026-34918,2026-08-17 11:00:00,采购标的：人工智能辅助诊疗信息系统；主要用途：辅助诊疗,https://www.ggzy.gov.cn/information/deal/html/b/540000/0201/20260724/0054ed63b196ee8042f597a08c2cf52bd3ce.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
银川市自然资源智慧通,政府/政务,银川市自然资源智慧通AI语言大模型项目,CY采2026第62号,2026-08-17 10:00:00,采购标的：AI语言大模型相关的专业技术服务（含硬件部署、平台安装调试、8套定制智能体）；主要用途：为银川市自然资源智慧通提供AI语言大模型能力，支持自然资源领域的智能化应用；核心需求：自合同签订之日起1个月内完成硬件部署、平台安装调试并上线、交付8套定制智能体全套功能、硬件提供3年整机上门免费维保、软件提供1年免费质保,https://www.ggzy.gov.cn/information/deal/html/b/640000/0201/20260728/00646c3edf53df5149fd87a76767e69f0537.html,高,VZOOM企业级AI智能体,匹配结论：采购需求明确要求交付8套定制智能体并依托AI语言大模型平台进行部署，VZOOM企业级AI智能体可完全承接；财税大模型无对应场景；AI中台仅有平台安装调试的方向线索，不具备充分匹配证据。；分产品说明：VZOOM财税大模型：采购原文未提及财税相关业务需求（如发票、会计、税务等）；VZOOM AI中台：采购原文未体现对模型开发部署平台、异构算力调度、多智能体协同等AI中台能力的要求（依据：自合同签订之日起1个月内完成硬件部署、平台安装调试并上线）,VZOOM企业级AI智能体缺少可在采购原文中核验的匹配证据；模型匹配度为高，但其可核验证据分数对应低
上海市黄浦区教育局校产管理站,教育,上海市敬业中学 敬业中学GeoAI（地理空间人工智能）创新实验室项目配套设备项目 预算编号： 0126-000198862,前往官网确认,2026-08-17 09:30:00,采购标的：GeoAI（地理空间人工智能）创新实验室配套设备；主要用途：用于建设GeoAI创新实验室，支持地理空间人工智能教学与实践；核心需求：货物类交付、交货期合同签订后30日历天内、质保期不少于3年,https://www.ggzy.gov.cn/information/deal/html/b/310000/0201/20260727/003162f35dfbdfad431f82eed344de0c47bf.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
武汉市东西湖区柏景湾学校柏景湾学校（筹备武汉临空港外国语学校,教育,柏景湾学校（筹备武汉临空港外国语学校（暂定名））AI智慧体育、心理咨询室器材采购项目（第二次,ZCJX-ZFCG-2026（009A）-2,2026-08-17 09:30:00,采购标的：AI智慧体育器材和心理咨询室器材；主要用途：用于学校体育教学和心理咨询服务,https://www.ggzy.gov.cn/information/deal/html/b/420000/0201/20260726/00429708cf7031a64762be9853cfae9f981a.html,高,VZOOM财税大模型,匹配结论：VZOOM财税大模型 95分（依据：纳税、会计）；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
云南民族大学附属中学,教育,云南民族大学附属中学AI赋能数智化底座与应用教研项目,YNZC2026-G1-04462-YYZX-0443,2026-08-17 09:30:00,采购标的：数智化基座管理、管理应用、AI远程教研应用；主要用途：用于云南民族大学附属中学的教育教学及教研活动；核心需求：覆盖莲华、呈贡各校区、签订合同后90日历天内完成交货、安装及调试、不允许进口产品投标；模块/标包：数智化基座管理、管理应用、AI远程教研应用,https://www.ggzy.gov.cn/information/deal/html/b/530000/0201/20260726/005394d840ac4beb4587a39212210d8da752.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
邯郸科技职业学院,教育,邯郸科技职业学院人工智能应用实训室建设项目 招标方式：公开招标,HB2026073601680001,2026-08-17 09:30:00,采购标的：人工智能应用实训室建设；主要用途：用于人工智能应用实训教学,https://www.ggzy.gov.cn/information/deal/html/b/130000/0201/20260724/001374cb534c53094a8daa553a86d3384252.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
广西瑞冠工程咨询有限公司,其他,龙胜智慧农业生态养殖AI共富项目 品目,GLZC2026-G3-280048-GXRG,2026-08-17 09:30:00,采购标的：智慧农业生态养殖AI共富项目相关的软件系统开发、部署及运维服务；主要用途：实现龙胜县智慧农业生态养殖的AI赋能，提升养殖效率和智能化水平,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260727_27013373.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
中国信息通信研究院采购单位,互联网/科技,2024年光网络新技术验证项目-后补助-非零余额项目-AI服务器 品目 货物/设备/信息化设备/计算机/服务器,BMCC-ZC26-1002,2026-08-17 09:30:00,采购标的：AI服务器；主要用途：用于光网络新技术验证；模块/标包：AI服务器,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260727_27012782.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数35，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数5，未达到65分明确匹配阈值,前往官网确认
上海市黄浦区教育局校产管理站采购单位,教育,上海市敬业中学 敬业中学GeoAI（地理空间人工智能）创新实验室项目配套设备项目 品目,前往官网确认,2026-08-17 09:30:00,采购标的：GeoAI创新实验室配套设备；主要用途：用于建设GeoAI（地理空间人工智能）创新实验室，支持地理空间人工智能教学与研究；核心需求：合同签订后30日历天内交付、质保期不少于3年、仅采购中、小、微型企业制造商生产的产品、本项目不接受联合体投标,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260728_27025982.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
上海松江开放大学,教育,人工智能实训室采购项目 品目,前往官网确认,2026-08-17 09:30:00,采购标的：实训室教学设备一批；主要用途：用于建设人工智能实训室，开展人工智能相关教学实训；核心需求：完成货物的安装、调试及试运行、合同履约期限为60个自然日、不接受联合体投标、不允许合同分包、产品需符合本国产品标准,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260728_27019676.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
百色市田阳区教育局,教育,百色市田阳区2026年中小学AI+智慧教育建设项目(设备部分） 预算总金额（元,BSZC2026-G1-210059-GXKL,2026-08-17 09:00:00,采购标的：中小学AI+智慧教育设备；主要用途：用于百色市田阳区中小学AI+智慧教育建设,https://www.ggzy.gov.cn/information/deal/html/b/450000/0201/20260727/0045410123a76dff4d17a0cc22a19d5e57d6.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
行唐县教育局本级,教育,行唐县2026年智能研修平台、初中理化生实验室AI考评系统购置项目,HBLH2026-07N06,2026-08-17 09:00:00,采购标的：智能研修平台和初中理化生实验室AI考评系统；主要用途：用于教师智能研修和理化生实验的AI自动考评；核心需求：A包智能研修平台采购、B包初中理化生实验室AI考评系统采购、供货安装时间：合同签订后30日历天内供货并安装调试完毕；模块/标包：智能研修平台、初中理化生实验室AI考评系统,https://www.ggzy.gov.cn/information/deal/html/b/130000/0201/20260724/00130de236da7e8746349c09536d76f5cb16.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
金华市医疗保障中心,医疗卫生,金华市医疗保障中心医疗保障基金智能监管医保项目费用审核AI应用采购项目,前往官网确认,2026-08-17 09:00:00,采购标的：费用审核AI应用；主要用途：用于医疗保障基金智能监管中的医保项目费用审核,https://www.ggzy.gov.cn/information/deal/html/b/330000/0201/20260724/003380569e43fcd343079807be65d52ebdc1.html,中,VZOOM企业级AI智能体、VZOOM财税大模型,匹配结论：采购项目为医保费用审核AI应用，属于财税场景AI助手。VZOOM财税大模型可直接覆盖费用审核辅助决策需求，企业级AI智能体可构建审核Agent，两者均具备匹配条件。AI中台因缺乏平台化建设需求而未匹配。；分产品说明：VZOOM AI中台：采购需求未体现建设统一AI能力平台或模型开发部署平台等AI中台核心需求,VZOOM财税大模型缺少可在采购原文中核验的匹配证据
陇东学院,教育,陇东学院机器人及人工智能基础平台采购项目,QYZC2026-0157,2026-08-17 09:00:00,采购标的：机器人及人工智能基础平台（含多智能体协同创新平台、救援机器人、智能装备套件、集群编队无人机套装）；主要用途：用于高校机器人及人工智能教学、科研及人才培养；核心需求：含货物的生产（采购）、运输、交货、到货验收、安装培训、售后质保等相关服务、合同签订后30日历天内完成交付；模块/标包：多智能体协同（足球）创新平台 3台、救援机器人 2套、智能装备套件 2套、集群编队无人机套装 2套,https://www.ggzy.gov.cn/information/deal/html/b/620000/0201/20260727/00626679ca26d5cb4ef48e253d357a26abf8.html,前往官网确认,无明确匹配产品,匹配结论：本项目采购标的为机器人及人工智能基础平台（含多智能体协同创新平台、救援机器人等硬件设备），主要用于高校教学科研。采购原文未提及Agent、知识库、财税场景或AI中台等软件能力需求，VZOOM三款产品均为企业级AI软件平台，与硬件采购需求无对应关系，因此均无法匹配。；分产品说明：VZOOM企业级AI智能体：采购需求未体现Agent、知识库、流程自动化等企业级AI智能体可承接的软件能力（依据：采购标的为机器人及人工智能基础平台，包括多智能体协同（足球）创新平台、救援机器人、智能装备套件、集群编队无人机等硬件设备）；VZOOM财税大模型：采购需求未体现财税知识库、发票异常识别、税务审计等财税场景（依据：采购标的为机器人及人工智能基础平台，包括多智能体协同（足球）创新平台、救援机器人、智能装备套件、集群编队无人机等硬件设备）；VZOOM AI中台：采购需求未体现统一AI平台、模型服务、推理部署、算力调度等AI中台能力（依据：采购标的为机器人及人工智能基础平台，包括多智能体协同（足球）创新平台、救援机器人、智能装备套件、集群编队无人机等硬件设备）,业务匹配度不是允许值
浙江农业商贸职业学院,教育,浙江农业商贸职业学院“农商智财星”生成式AI智能体服务开发应用平台项目（重招） 品目,前往官网确认,2026-08-17 09:00:00,采购标的：生成式AI智能体服务开发应用平台；主要用途：用于建设“农商智财星”系统，为浙江农业商贸职业学院提供AI智能体服务开发能力,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260728_27022317.htm,中,VZOOM企业级AI智能体,匹配结论：VZOOM企业级AI智能体 65分（依据：智能体）；分产品说明：VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,产品匹配模型调用失败，已使用本地能力规则完成兜底判断
金华市医疗保障中心,医疗卫生,金华市医疗保障中心医疗保障基金智能监管医保项目费用审核AI应用采购项目 品目,前往官网确认,2026-08-17 09:00:00,采购标的：医疗保障基金智能监管医保项目费用审核AI应用；主要用途：用于医保基金智能监管和费用审核,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260725_27007895.htm,低,无明确匹配产品,匹配结论：采购需求仅描述为‘医保项目费用审核AI应用’，无具体功能、交付成果或平台能力原文，无法与任一VZOOM产品形成可核验对应，建议获取招标文件详细技术需求后重新评估。；分产品说明：VZOOM企业级AI智能体：采购需求未体现智能体、知识库、工作流编排或Agent/Skill等能力需求（依据：仅出现‘AI应用’，无原文支持智能体相关功能。）；VZOOM财税大模型：采购需求未体现财税场景、发票异常识别或税务知识库等需求（依据：采购原文为医保基金费用审核，非财税领域。）；VZOOM AI中台：采购需求未体现模型部署、推理平台、算力调度或AI服务底座等需求（依据：采购目标为AI应用，非AI平台建设。）,前往官网确认
廊坊经济技术开发区第二实验学校,教育,廊坊经济技术开发区第二实验学校AI听说课堂采购项目 品目,Z1310002602972001、HBZR-2026-009,2026-08-17 09:00:00,采购标的：AI听说课堂系统（含软硬件及服务）；主要用途：用于学校英语口语听说教学；核心需求：合同签订后15日历天内完成供货、安装及调试、达到验收要求,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260724_26998744.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
廊坊经济技术开发区第二实验学校,教育,廊坊经济技术开发区第二实验学校 AI 听说课堂采购项目,Z1310002602972001,2026-08-17 09:00:00,采购标的：AI听说课堂；主要用途：用于学校英语听说教学,https://www.ggzy.gov.cn/information/deal/html/b/130000/0201/20260724/00134e9bf65be5a849098c1c956d618c08e1.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
陇东学院,教育,陇东学院智能制造场景下的 AI训练与推理工作站采购项目,QYZC2026-0133,2026-08-17,采购标的：AI训练与推理工作站；主要用途：用于智能制造场景下的AI模型本地化训练与推理，支持铜锣自动演奏、果品智能化训练及采摘作业，满足科研、生产与实训需求。；核心需求：提供AI模型本地化训练与推理算力、支持铜锣自动演奏、支持果品智能化训练及采摘作业、满足科研、生产与实训需求,https://www.ggzy.gov.cn/information/deal/html/b/620000/0201/20260727/006205e28d5cb88b41d6ad947966590f4ace.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数15，未达到65分明确匹配阈值,前往官网确认
陕西能源职业技术学院,教育,智慧矿山人工智能大模型一体机 品目,0617-2621HZ1927,2026-08-17,采购标的：智慧矿山人工智能大模型一体机；主要用途：用于智慧矿山的AI建设,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260727_27010198.htm,低,无明确匹配产品,匹配结论：采购项目为智慧矿山人工智能大模型一体机，标的内容偏向软硬件一体化设备，但未提供采购清单详细需求，无法核验具体功能是否与VZOOM产品能力等价，三款产品均无足够证据形成有效匹配。；分产品说明：VZOOM企业级AI智能体：采购需求未体现Agent/Skill、智能问答、知识库或流程自动化等具体功能需求；VZOOM财税大模型：采购需求未体现财税金融相关场景或能力要求；VZOOM AI中台：采购原文未提供AI中台所需的模型开发部署、数据治理或多智能体协同等具体需求证据,前往官网确认
中国信息通信研究院采购单位,互联网/科技,基于大模型的智能化应用原型研制-跨模态检索模块开发试制等 品目 服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,BMCC-ZC26-0778,2026-08-14 15:00:00,采购标的：跨模态检索模块和反编译模块的开发试制；主要用途：用于科研；模块/标包：跨模态检索模块开发试制、反编译模块开发试制,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260724_27004525.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数35，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
浙江金融职业学院,金融,双校区AI就业一体化平台项目 品目,前往官网确认,2026-08-14 13:30:00,采购标的：AI就业一体化平台；主要用途：用于浙江金融职业学院双校区的就业服务工作,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260725_27008630.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
阿坝师范学院,教育,非遗AI创新设计实验室项目(二次,N5100012026001722,2026-08-14 10:30:00,采购标的为非遗AI创新设计实验室，具体配置、功能要求详见采购文件附件，附件未提供详细内容,https://www.ggzy.gov.cn/information/deal/html/b/510000/0201/20260724/0051b029e9aabbc0449c9e4dca23058e6f05.html,高,VZOOM财税大模型,匹配结论：VZOOM财税大模型 95分（依据：纳税、会计）；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
安徽中澳科技职业学院,教育,安徽中澳科技职业学院人工智能高水平专业群建设项目,2026BFAFZ50435,2026-08-14 10:30:00,采购标的：人工智能高水平专业群建设；主要用途：用于提升安徽中澳科技职业学院人工智能专业群建设水平,https://www.ggzy.gov.cn/information/deal/html/b/340000/0201/20260724/0034cd37a26e1d034998b5aa74862c5f1baa.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
上海市闵行区七宝镇城市运行管理中心,其他,"七宝镇垃圾点位视频监控及智能分析系统服务 预算编号： 1226-102200421, 1226-K10212093, 1226-K10212094",前往官网确认,2026-08-14 10:00:00,采购标的：视频监控及智能分析系统服务；主要用途：用于七宝镇垃圾点位的视频监控和智能分析，提升管理效率；核心需求：信息集成服务、流量费；模块/标包：26年项目信息集成服务及流量费,https://www.ggzy.gov.cn/information/deal/html/b/310000/0201/20260723/003142851a0f45014ba3ba0a9697f4de7365.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
四川省骨科医院,医疗卫生,AI智能问数（智能体）应用服务 品目,N5100012026001434,2026-08-14 09:30:00,采购标的：AI智能问数（智能体）应用服务；主要用途：为医院提供基于AI的智能问数能力，辅助医护人员进行数据查询和分析,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260723_26996661.htm,高,VZOOM企业级AI智能体,匹配结论：企业级AI智能体可承接采购方AI智能问数（智能体）应用服务需求，其智能问答与Agent能力直接对应项目名称和目的；其余产品因无财税或AI中台相关需求证据而不匹配。；分产品说明：VZOOM财税大模型：采购需求未体现财税知识库、税务会计、发票识别等财税场景需求（依据：采购原文：AI智能问数（智能体）应用服务；辅助医护人员进行数据查询和分析）；VZOOM AI中台：采购需求未体现AI平台、模型服务、算力调度、数据治理等中台能力（依据：采购原文：AI智能问数（智能体）应用服务；核心需求详见采购需求附件）,VZOOM企业级AI智能体缺少可在采购原文中核验的匹配证据
